reason_for_recall,reason_lower,reason_cat,n
Various vegetable and fruit products are recalled due to inadequate sanitizer in wash water.,various vegetable and fruit products are recalled due to inadequate sanitizer in wash water.,Other / Unspecified,37
Potential for metal in product,potential for metal in product,Foreign material,36
Salmonella,salmonella,Bacterial pathogen contamination,36
The food was not held at an appropriate temperature.  The holding temperature could affect spoilage and potentially support pathogen growth.,the food was not held at an appropriate temperature.  the holding temperature could affect spoilage and potentially support pathogen growth.,Spoilage / Quality defect,36
Products were manufactured with cumin found to contain undeclared peanuts.,products were manufactured with cumin found to contain undeclared peanuts.,Undeclared allergen,36
Potential contamination with Salmonella Newport  in onions and prepared foods containing onions.,potential contamination with salmonella newport  in onions and prepared foods containing onions.,Bacterial pathogen contamination,36
Product contains undeclared sulfites.,product contains undeclared sulfites.,Undeclared allergen,35
Product potentially contaminated with Salmonella.,product potentially contaminated with salmonella.,Bacterial pathogen contamination,35
According to the firm a process deviation and proper temperatures were not reached during ice cream production and mix storage.,according to the firm a process deviation and proper temperatures were not reached during ice cream production and mix storage.,Regulatory / GMP / Process deviation,35
Dairy Farmers of America Inc. is recalling a number of cheese products due  that a piece of plastic  film strip might remain attached to the cheese slice upon peeling the film from the product.,dairy farmers of america inc. is recalling a number of cheese products due  that a piece of plastic  film strip might remain attached to the cheese slice upon peeling the film from the product.,Foreign material,34
Potential to be contaminated with Listeria monocytogenes,potential to be contaminated with listeria monocytogenes,Bacterial pathogen contamination,33
GH Foods CA received notification from Gills onions of a recall of onions due to Listeria Monocytogenes. GH Foods used the recalled onions in numerous product.,gh foods ca received notification from gills onions of a recall of onions due to listeria monocytogenes. gh foods used the recalled onions in numerous product.,Bacterial pathogen contamination,33
Firm was notified by supplier that cashew butter used in protein bars is under recall due to the potential of Listeria monocytogenes.,firm was notified by supplier that cashew butter used in protein bars is under recall due to the potential of listeria monocytogenes.,Undeclared allergen,33
The firm was manufacturing acidified foods without a license.,the firm was manufacturing acidified foods without a license.,Regulatory / GMP / Process deviation,32
"Sunland, Inc. is conducting a voluntary limited recall of its Almond, Peanut, and Cashew Butter products and Tahini and Roasted Blanched Peanut Products, manufactured between May 1, 2010 and September 24, 2012, because these products may be contaminated with Salmonella.  On October 12, 2012 the firm extended its recall to include Raw and Roasted Shelled and In-Shell Peanuts.","sunland, inc. is conducting a voluntary limited recall of its almond, peanut, and cashew butter products and tahini and roasted blanched peanut products, manufactured between may 1, 2010 and september 24, 2012, because these products may be contaminated with salmonella.  on october 12, 2012 the firm extended its recall to include raw and roasted shelled and in-shell peanuts.",Undeclared allergen,32
Products recalled due to potential contamination with Listeria monocytogenes,products recalled due to potential contamination with listeria monocytogenes,Bacterial pathogen contamination,32
The firm was notified by their supplier that ingredients used in their products were possibly contaminated with Listeria monocytogenes and Salmonella.,the firm was notified by their supplier that ingredients used in their products were possibly contaminated with listeria monocytogenes and salmonella.,Bacterial pathogen contamination,31
The firm received positive test results for Listeria monocytogenes during in house environmental sampling on one of their meat slicers.,the firm received positive test results for listeria monocytogenes during in house environmental sampling on one of their meat slicers.,Bacterial pathogen contamination,31
Corn flour which may contain small pieces of plastic.,corn flour which may contain small pieces of plastic.,Foreign material,31
"Potential to contain undeclared tree nuts, peanuts and wheat due to allergen cross contamination.","potential to contain undeclared tree nuts, peanuts and wheat due to allergen cross contamination.",Undeclared allergen,31
"Whole Foods Market in Florida recalled certain fresh food items sold in the prepared foods department and one item in the seafood department as they could of been made using raw yellow onions processed by Gill Onions, LLC. Gill Onions, LLC initiated a recall on their product due to possible Listeria monocytogenes contamination.","whole foods market in florida recalled certain fresh food items sold in the prepared foods department and one item in the seafood department as they could of been made using raw yellow onions processed by gill onions, llc. gill onions, llc initiated a recall on their product due to possible listeria monocytogenes contamination.",Bacterial pathogen contamination,31
"WEIS MARKETS IS ISSUING A VOLUNTARY RECALL FOR 30 BAKERY PRODUCTS INCLUDING MUFFINS, COOKIES, AND SHORTBREAD AND BAKED BREAD ITEMS DUE TO THE POTENTIAL PRESENCE OF SMALL METAL FRAGMENTS (2-9MM) IN THE SUGAR TOPPING USED ON THESE PRODUCTS. THE VOLUNTARY ACTION IS BEING TAKEN DUE TO OUR SUPPLIERS RECALL OF THE SUGAR INGREDIENT.","weis markets is issuing a voluntary recall for 30 bakery products including muffins, cookies, and shortbread and baked bread items due to the potential presence of small metal fragments (2-9mm) in the sugar topping used on these products. the voluntary action is being taken due to our suppliers recall of the sugar ingredient.",Foreign material,30
Manufacturing defect leading to post-process  contamination.,manufacturing defect leading to post-process  contamination.,Chemical contamination / Toxins / Adulteration,30
Cumin and cumin containing spice mixes may contain undeclared peanuts.,cumin and cumin containing spice mixes may contain undeclared peanuts.,Undeclared allergen,30
"Royal Seafood Baza, Inc. has recalled all pickled products produced on 3/1/2016, 3/2/2016 and also all herring products produced on 2/29/2016 due to possible contamination with Listeria monocytogenes.","royal seafood baza, inc. has recalled all pickled products produced on 3/1/2016, 3/2/2016 and also all herring products produced on 2/29/2016 due to possible contamination with listeria monocytogenes.",Bacterial pathogen contamination,29
During an FDA investigation the firm was notified that the product contains undeclared shellfish.,during an fda investigation the firm was notified that the product contains undeclared shellfish.,Undeclared allergen,29
The firm was notified by FDA & CDC of a potential Listeria monocytogenes genetic match between environmental samples from our facility and case patient samples associated with an illness outbreak.,the firm was notified by fda & cdc of a potential listeria monocytogenes genetic match between environmental samples from our facility and case patient samples associated with an illness outbreak.,Bacterial pathogen contamination,29
Multiple laboratory analysis found multiple instances where various cheeses exceed allowed limits of generic E. coli.,multiple laboratory analysis found multiple instances where various cheeses exceed allowed limits of generic e. coli.,Bacterial pathogen contamination,29
The products are contaminated with Listeria monocytogenes.,the products are contaminated with listeria monocytogenes.,Bacterial pathogen contamination,29
"In response to a FDA inspection, the firm initiated this voluntary recall of various dietary supplements due to the following problems of mislabeling: 1) product named on the label is not actual product contained; 2)ingredients listed are not actual ingredients contained.","in response to a fda inspection, the firm initiated this voluntary recall of various dietary supplements due to the following problems of mislabeling: 1) product named on the label is not actual product contained; 2)ingredients listed are not actual ingredients contained.",Labeling / Misbranding (non-allergen),28
Potential for Listeria monocytogenes contamination,potential for listeria monocytogenes contamination,Bacterial pathogen contamination,28
CA Department of Public Health inspectors found a pervasive infestation of mice in the facility.,ca department of public health inspectors found a pervasive infestation of mice in the facility.,Other / Unspecified,28
Undeclared allergen; egg.,undeclared allergen; egg.,Undeclared allergen,27
