reason_for_recall,reason_lower,reason_cat,n
Hollandaise Sauce was recalled due to presence of mold.,hollandaise sauce was recalled due to presence of mold.,Spoilage / Quality defect,1
"All cans and pouches of Skipanon Brand seafood, including  tuna products are being recalled due to lack of documentation and possible under-processed product.  Under-processed seafood could lead to contamination with Clostridium botulinum.","all cans and pouches of skipanon brand seafood, including  tuna products are being recalled due to lack of documentation and possible under-processed product.  under-processed seafood could lead to contamination with clostridium botulinum.",Microbial toxin / spore-forming contamination,1
Product may have undeclared soy from soy sauce.,product may have undeclared soy from soy sauce.,Undeclared allergen,1
"All cans and pouches of Skipanon Brand seafood, including smoked tuna products are being recalled due to lack of documentation and possible under-processed product.  Under-processed seafood could lead to contamination with Clostridium botulinum.","all cans and pouches of skipanon brand seafood, including smoked tuna products are being recalled due to lack of documentation and possible under-processed product.  under-processed seafood could lead to contamination with clostridium botulinum.",Microbial toxin / spore-forming contamination,1
Queso Cheese dip may contain foreign material (metal).,queso cheese dip may contain foreign material (metal).,Foreign material,1
The firm is recalling a dietary supplement containing a raw material which may contain >0.3 ppb of chloramphenicol.,the firm is recalling a dietary supplement containing a raw material which may contain >0.3 ppb of chloramphenicol.,Other / Unspecified,1
"All cans and pouches of Skipanon Brand seafood, including smoked peppered salmon products are being recalled due to lack of documentation and possible under-processed product.  Under-processed seafood could lead to contamination with Clostridium botulinum.","all cans and pouches of skipanon brand seafood, including smoked peppered salmon products are being recalled due to lack of documentation and possible under-processed product.  under-processed seafood could lead to contamination with clostridium botulinum.",Microbial toxin / spore-forming contamination,1
"Flying Food Group, LLC , initiated a recall of Amazon Kitchen Avocado Chicken Salad Sandwich .    The soy allergen is undeclared on the finish product label. The label does have the following statement """"Prepared on shared equipment with other foods that contain eggs, fish, milk, peanut, shellfish, soy, tree nuts and wheat"""".","flying food group, llc , initiated a recall of amazon kitchen avocado chicken salad sandwich .    the soy allergen is undeclared on the finish product label. the label does have the following statement """"prepared on shared equipment with other foods that contain eggs, fish, milk, peanut, shellfish, soy, tree nuts and wheat"""".",Undeclared allergen,1
Contains foreign object (metal),contains foreign object (metal),Foreign material,1
"Nexgen Pharma Inc. is recalling one lot of Woman's Once Daily vitamin because it was contaminated with the antibiotic, Chloramphenicol.","nexgen pharma inc. is recalling one lot of woman's once daily vitamin because it was contaminated with the antibiotic, chloramphenicol.",Other / Unspecified,1
"All cans and pouches of Skipanon Brand seafood, including  tuna bellies products are being recalled due to lack of documentation and possible under-processed product.  Under-processed seafood could lead to contamination with Clostridium botulinum.","all cans and pouches of skipanon brand seafood, including  tuna bellies products are being recalled due to lack of documentation and possible under-processed product.  under-processed seafood could lead to contamination with clostridium botulinum.",Microbial toxin / spore-forming contamination,1
Undeclared Yellow #5 in product.,undeclared yellow #5 in product.,Undeclared allergen,1
Product recalled due to undeclared milk allergen (sodium caseinate).,product recalled due to undeclared milk allergen (sodium caseinate).,Undeclared allergen,1
Two consumer complaints were received for peanuts in maple pecan bars.,two consumer complaints were received for peanuts in maple pecan bars.,Undeclared allergen,1
The firm discovered that some of their Chicken Salad Croissants contained Tuna Salad. Fish is not declared on the label.,the firm discovered that some of their chicken salad croissants contained tuna salad. fish is not declared on the label.,Undeclared allergen,1
The manufacturer informed the firm that they received a complaint of plastic in the product.,the manufacturer informed the firm that they received a complaint of plastic in the product.,Foreign material,1
Walnuts undeclared on outer retail unit carton.,walnuts undeclared on outer retail unit carton.,Undeclared allergen,1
Product was found to contain the allergen of soy that was not listed on the ingredient label.,product was found to contain the allergen of soy that was not listed on the ingredient label.,Undeclared allergen,1
"Undeclared milk and soy. The milk and soy allergens are listed in the """"may contains"""" statement, but are not included in the """"Contains"""" statement.","undeclared milk and soy. the milk and soy allergens are listed in the """"may contains"""" statement, but are not included in the """"contains"""" statement.",Undeclared allergen,1
"Improper labeling: Product contains shellfish, but is labeled as """"May contain shellfish.""""","improper labeling: product contains shellfish, but is labeled as """"may contain shellfish.""""",Undeclared allergen,1
Potential contamination of undeclared allergen peanuts,potential contamination of undeclared allergen peanuts,Undeclared allergen,1
The firm recieved consumer complaints of premature spoilage of the refrigerated gravy product.,the firm recieved consumer complaints of premature spoilage of the refrigerated gravy product.,Temperature control / Storage deviation,1
"All cans and pouches of Skipanon Brand seafood, including steelhead trout products are being recalled due to lack of documentation and possible under-processed product.  Under-processed seafood could lead to contamination with Clostridium botulinum.","all cans and pouches of skipanon brand seafood, including steelhead trout products are being recalled due to lack of documentation and possible under-processed product.  under-processed seafood could lead to contamination with clostridium botulinum.",Microbial toxin / spore-forming contamination,1
Visible spoilage of product before the end of shelf life.,visible spoilage of product before the end of shelf life.,Spoilage / Quality defect,1
"Cream Cheese and Sour Cream are declared, but milk is not declared on label.","cream cheese and sour cream are declared, but milk is not declared on label.",Undeclared allergen,1
Metal fragment was found in product.,metal fragment was found in product.,Foreign material,1
"All cans and pouches of Skipanon Brand seafood, including smoked sturgeon products are being recalled due to lack of documentation and possible under-processed product.  Under-processed seafood could lead to contamination with Clostridium botulinum.","all cans and pouches of skipanon brand seafood, including smoked sturgeon products are being recalled due to lack of documentation and possible under-processed product.  under-processed seafood could lead to contamination with clostridium botulinum.",Microbial toxin / spore-forming contamination,1
Undeclared tree nuts (pistachios),undeclared tree nuts (pistachios),Undeclared allergen,1
Contains undeclared fish,contains undeclared fish,Undeclared allergen,1
Dried fish bones were found in product.,dried fish bones were found in product.,Undeclared allergen,1
Product may have low levels of imidacloprid in excess of the tolerance of 0.05 ppm.,product may have low levels of imidacloprid in excess of the tolerance of 0.05 ppm.,Other / Unspecified,1
"Costco item # 2335, Dilettante Chocolates Espresso Blend, Espresso Beans in Semisweet, Milk and White Chocolate is recalled because it may contain undeclared almonds.","costco item # 2335, dilettante chocolates espresso blend, espresso beans in semisweet, milk and white chocolate is recalled because it may contain undeclared almonds.",Undeclared allergen,1
doTERRA is voluntarily recalling unexpired Slim & Sassy¿ TrimShake - Chocolate and Slim & Sassy¿ TrimShake   Vanilla mixes due to an undeclared milk allergen.,doterra is voluntarily recalling unexpired slim & sassy¿ trimshake - chocolate and slim & sassy¿ trimshake   vanilla mixes due to an undeclared milk allergen.,Undeclared allergen,1
doTERRA is voluntarily recalling unexpired Slim & Sassy¿ TrimShake - Chocolate and Slim & Sassy¿ TrimShake  Vanilla mixes due to an undeclared milk allergen.,doterra is voluntarily recalling unexpired slim & sassy¿ trimshake - chocolate and slim & sassy¿ trimshake  vanilla mixes due to an undeclared milk allergen.,Undeclared allergen,1
Sandwich was made with non-fully cooked sausage.,sandwich was made with non-fully cooked sausage.,Other / Unspecified,1
During an FDA investigation the firm was notified that the product contains undeclared milk and soy.,during an fda investigation the firm was notified that the product contains undeclared milk and soy.,Undeclared allergen,1
Product tested and found high levels of lead.,product tested and found high levels of lead.,Chemical contamination / Toxins / Adulteration,1
"Specialty Commodities, Inc. is recalling a specific lot of Flax Meal that may be contaminated with Salmonella typhimurium.","specialty commodities, inc. is recalling a specific lot of flax meal that may be contaminated with salmonella typhimurium.",Bacterial pathogen contamination,1
"Pacific Rim Distribution Inc., dba Bean Boy Coffee is voluntarily recalling Dark Chocolate Covered Espresso Beans following a supplier's recall due to undeclared allergen milk.","pacific rim distribution inc., dba bean boy coffee is voluntarily recalling dark chocolate covered espresso beans following a supplier's recall due to undeclared allergen milk.",Undeclared allergen,1
During an FDA investigation the firm was notified of the product contains undeclared milk.,during an fda investigation the firm was notified of the product contains undeclared milk.,Undeclared allergen,1
The firm manufactured and distributed one salad kit which contained salad dressing supplied by Reser's which was recalled due to possible Listeria monocytogenes contamination.,the firm manufactured and distributed one salad kit which contained salad dressing supplied by reser's which was recalled due to possible listeria monocytogenes contamination.,Bacterial pathogen contamination,1
During an FDA investigation the firm was notified that the product contains undeclared coconut.,during an fda investigation the firm was notified that the product contains undeclared coconut.,Undeclared allergen,1
Cucumbers have the potential to be contaminated with Salmonella,cucumbers have the potential to be contaminated with salmonella,Bacterial pathogen contamination,1
During an FDA investigation the firm was notified that the product contains undeclared wheat.,during an fda investigation the firm was notified that the product contains undeclared wheat.,Undeclared allergen,1
Cucumbers may be contaminated with Salmonella.,cucumbers may be contaminated with salmonella.,Bacterial pathogen contamination,1
"Product was not properly labeled in English for importing into the US and filth was found in product (including mold, hair, bird feather, yarn).","product was not properly labeled in english for importing into the us and filth was found in product (including mold, hair, bird feather, yarn).",Spoilage / Quality defect,1
"Product's ingredients names such as Oregon Grape, Cayenne Root, and Ginger Fruit and their quantities were not listed correctly in the Supplement Facts panel.","product's ingredients names such as oregon grape, cayenne root, and ginger fruit and their quantities were not listed correctly in the supplement facts panel.",Other / Unspecified,1
"The firm has initiated a recall of Rao's Made for Home Slow Simmered Soup, labeled as Chicken & Gnocchi but containing vegetable minestrone, with an undeclared egg allergen.","the firm has initiated a recall of rao's made for home slow simmered soup, labeled as chicken & gnocchi but containing vegetable minestrone, with an undeclared egg allergen.",Undeclared allergen,1
Undeclared allergens (Wheat and Soy),undeclared allergens (wheat and soy),Undeclared allergen,1
Product does not include statement: Contains milk,product does not include statement: contains milk,Undeclared allergen,1
The apple juice concentrates contain high levels of inorganic arsenic. The firm is recalling lots that were distributed for use other than fermentation (i.e. alcohol or vinegar).,the apple juice concentrates contain high levels of inorganic arsenic. the firm is recalling lots that were distributed for use other than fermentation (i.e. alcohol or vinegar).,Chemical contamination / Toxins / Adulteration,1
Contains Sodium Nitrite recalled for potential metal contamination,contains sodium nitrite recalled for potential metal contamination,Foreign material,1
Product may contain spoilage organisms.,product may contain spoilage organisms.,Spoilage / Quality defect,1
Complaints of insects in product,complaints of insects in product,Other / Unspecified,1
May contain undeclared pine nuts,may contain undeclared pine nuts,Undeclared allergen,1
Incorrect product in packaging,incorrect product in packaging,Other / Unspecified,1
The firm found what appeared to be plastic in the product.,the firm found what appeared to be plastic in the product.,Foreign material,1
Product contains undeclared macadamia nuts.,product contains undeclared macadamia nuts.,Undeclared allergen,1
"Potential for packaging failures that could compromise the sterility of the product, resulting in spoilage.","potential for packaging failures that could compromise the sterility of the product, resulting in spoilage.",Spoilage / Quality defect,1
Underprocessing,underprocessing,Other / Unspecified,1
Soup labeled Creamy Cauliflower Parmesan Soup may contain undeclared fish and wheat,soup labeled creamy cauliflower parmesan soup may contain undeclared fish and wheat,Undeclared allergen,1
"Histamine, high total plate count, coliforms, and E.coli (serotype is unknown).","histamine, high total plate count, coliforms, and e.coli (serotype is unknown).",Bacterial pathogen contamination,1
Undeclared yellow #5,undeclared yellow #5,Undeclared allergen,1
Tristar Food Wholesale Co. Inc. is recalling Heng Cheong Loong Co. Golden Raisins because it contains undeclared sulfites. People who have severe sensitivity to sulfites run the risk of serious or life threatening allergic reactions if they consume this product.,tristar food wholesale co. inc. is recalling heng cheong loong co. golden raisins because it contains undeclared sulfites. people who have severe sensitivity to sulfites run the risk of serious or life threatening allergic reactions if they consume this product.,Undeclared allergen,1
The product contained undeclared sulfites (44779 ppm) based on sampling and analysis by New York State Department of Agriculture and Markets.,the product contained undeclared sulfites (44779 ppm) based on sampling and analysis by new york state department of agriculture and markets.,Undeclared allergen,1
"Incorrect ingredients label on back of product shows """"Contains: rBST-free dairy, cage-free eggs, and soy"""" when the product does not.  This statement is found above """"Made in a facility that uses Dairy, Eggs and Soy.""""","incorrect ingredients label on back of product shows """"contains: rbst-free dairy, cage-free eggs, and soy"""" when the product does not.  this statement is found above """"made in a facility that uses dairy, eggs and soy.""""",Undeclared allergen,1
"Drizzle product contains undeclared milk, a subingredient of a listed ingredient: Parmesan cheese","drizzle product contains undeclared milk, a subingredient of a listed ingredient: parmesan cheese",Undeclared allergen,1
Organic Brussel Sprouts tested positive for Chlorpyrifos by the State of California,organic brussel sprouts tested positive for chlorpyrifos by the state of california,Other / Unspecified,1
"Zenobia Company, LLC is recalling Flax Seed Meal due to the possible presence of Salmonella.","zenobia company, llc is recalling flax seed meal due to the possible presence of salmonella.",Bacterial pathogen contamination,1
"Juanita 's Brand OJOS Mexican Pastry, 6 counts in plastic bag, is recalled due to undeclared coconut.","juanita 's brand ojos mexican pastry, 6 counts in plastic bag, is recalled due to undeclared coconut.",Undeclared allergen,1
Product was found to contain sesame that were not declared on the ingredient label.,product was found to contain sesame that were not declared on the ingredient label.,Undeclared allergen,1
The honey mustard pretzel mix lists whey in the ingredient list but does not list Milk in the Contains statement.,the honey mustard pretzel mix lists whey in the ingredient list but does not list milk in the contains statement.,Undeclared allergen,1
Mislabeled: Product  labeled  macadamia nut cookie dough contained peanut butter cookie dough,mislabeled: product  labeled  macadamia nut cookie dough contained peanut butter cookie dough,Undeclared allergen,1
"Product was found to contain sesame that were not declared on the ingredient label.  Potential for product mix up, so product i being recalled out of an abundance of caution","product was found to contain sesame that were not declared on the ingredient label.  potential for product mix up, so product i being recalled out of an abundance of caution",Undeclared allergen,1
The honey mustard mix lists whey in the ingredient list but does not list Milk in the Contains statement.,the honey mustard mix lists whey in the ingredient list but does not list milk in the contains statement.,Undeclared allergen,1
undeclared hazelnuts,undeclared hazelnuts,Undeclared allergen,1
Cereal bar may be contaminated with tobacco beetles.,cereal bar may be contaminated with tobacco beetles.,Other / Unspecified,1
Product contains undeclared honey.,product contains undeclared honey.,Undeclared allergen,1
Dietary supplement contains excess amount of fluoride.,dietary supplement contains excess amount of fluoride.,Other / Unspecified,1
Product is linked to complaints of gastrointestinal illness.,product is linked to complaints of gastrointestinal illness.,Other / Unspecified,1
Potential plastic pieces in the product.,potential plastic pieces in the product.,Foreign material,1
"Virginia Diner, Inc. is initiating a voluntary recall of Chocolate Covered Cashews that were placed in  60 cans and sold to one direct account because of  mislabeling and peanuts were found in the cans. (Undeclared Peanut Allergen )","virginia diner, inc. is initiating a voluntary recall of chocolate covered cashews that were placed in  60 cans and sold to one direct account because of  mislabeling and peanuts were found in the cans. (undeclared peanut allergen )",Undeclared allergen,1
Product found to contain Listeria monocytogenes,product found to contain listeria monocytogenes,Bacterial pathogen contamination,1
The firm was notified after laboratory analysis that the product test positive for Listeria monocytogenes.,the firm was notified after laboratory analysis that the product test positive for listeria monocytogenes.,Bacterial pathogen contamination,1
"Ahold U.S.A., Inc. was notified by the Virginia Department of Agriculture that one of three retail samples of Whole Kernel Corn, 16 oz.  tested positive for Listeria Monocytogenes on 11/13/2017.    The firm has decided to initiate a recall of the product  .","ahold u.s.a., inc. was notified by the virginia department of agriculture that one of three retail samples of whole kernel corn, 16 oz.  tested positive for listeria monocytogenes on 11/13/2017.    the firm has decided to initiate a recall of the product  .",Bacterial pathogen contamination,1
Firm received reports of flexible pieces of yellow plastic found in Fit & Active Chocolatey Chip Protein Meal Bars.,firm received reports of flexible pieces of yellow plastic found in fit & active chocolatey chip protein meal bars.,Foreign material,1
Product may contain undeclared sesame,product may contain undeclared sesame,Undeclared allergen,1
Undeclared Milk. During an FDA investigation the manufacturer was notified that the label does not list the allergen milk in the ingredient statement.,undeclared milk. during an fda investigation the manufacturer was notified that the label does not list the allergen milk in the ingredient statement.,Undeclared allergen,1
Product may contain undeclared sesame.,product may contain undeclared sesame.,Undeclared allergen,1
"Undeclared allergen: Milk. Undeclared Color Additives: FD&C red #5, blue #1, red #3, red #40, yellow #5.","undeclared allergen: milk. undeclared color additives: fd&c red #5, blue #1, red #3, red #40, yellow #5.",Undeclared allergen,1
"Frozen non-ready to eat Alaskan Salmon Bites, Kroger brand, are recalled due to potential contamination with Listeria monocytogenes or Salmonella in vegetables ingredient.","frozen non-ready to eat alaskan salmon bites, kroger brand, are recalled due to potential contamination with listeria monocytogenes or salmonella in vegetables ingredient.",Bacterial pathogen contamination,1
"The product was found to contain undeclared yellow# 6, verified via private lab analysis.","the product was found to contain undeclared yellow# 6, verified via private lab analysis.",Undeclared allergen,1
"Undeclared allergen: Milk. Undeclared color additives: FD&C yellow #5, blue #1, red #40.","undeclared allergen: milk. undeclared color additives: fd&c yellow #5, blue #1, red #40.",Undeclared allergen,1
Product tested was not in compliance for pesticide exclusion.,product tested was not in compliance for pesticide exclusion.,Chemical contamination / Toxins / Adulteration,1
Presence of E. coli species,presence of e. coli species,Bacterial pathogen contamination,1
"Undeclared allergen: Milk. Undeclared color additives: FD&C yellow #5, yellow #8, red #40.","undeclared allergen: milk. undeclared color additives: fd&c yellow #5, yellow #8, red #40.",Undeclared allergen,1
Product declares flour on the label but not wheat.,product declares flour on the label but not wheat.,Undeclared allergen,1
Some packages of Dry roasted unsalted peanuts packed in 12 oz. clear package may be packed in a bag labeled as  macadamia nuts.,some packages of dry roasted unsalted peanuts packed in 12 oz. clear package may be packed in a bag labeled as  macadamia nuts.,Undeclared allergen,1
Pieces of plastic and metal discovered within product.,pieces of plastic and metal discovered within product.,Foreign material,1
Undeclared hazelnut in Chocolate Truffles cake topping.,undeclared hazelnut in chocolate truffles cake topping.,Undeclared allergen,1
"Undeclared allergens: Milk and Tree Nuts. Undeclared color additives: FD&C yellow #5, blue #1, red #40, red#6, red #5.","undeclared allergens: milk and tree nuts. undeclared color additives: fd&c yellow #5, blue #1, red #40, red#6, red #5.",Undeclared allergen,1
Farm Country Cheese House is conducting a voluntary recall of multiple vats of cheese due to potential contamination with Listeria monocytogenes.,farm country cheese house is conducting a voluntary recall of multiple vats of cheese due to potential contamination with listeria monocytogenes.,Bacterial pathogen contamination,1
The firm was notified by their contract manufacture that the product contains undeclared hazelnuts.,the firm was notified by their contract manufacture that the product contains undeclared hazelnuts.,Undeclared allergen,1
"Undeclared allergen: Milk. Undeclared color additives: FD&C red #6, red #5, yellow#5.","undeclared allergen: milk. undeclared color additives: fd&c red #6, red #5, yellow#5.",Undeclared allergen,1
Firm received notification from their supplier of a voluntary recall due to the potential contamination of Salmonella and/or Listeria.,firm received notification from their supplier of a voluntary recall due to the potential contamination of salmonella and/or listeria.,Bacterial pathogen contamination,1
Wasabi Flavor Seaweed snack is incorrectly packaged in Original Seaweed Flavor package which does not declare FD&C Yellow 5 and FD&C Blue No 1.,wasabi flavor seaweed snack is incorrectly packaged in original seaweed flavor package which does not declare fd&c yellow 5 and fd&c blue no 1.,Other / Unspecified,1
"60% Dark Chocolate Chips, bulk 30 lbs. containers, are recalled due to cross contamination with peanut.","60% dark chocolate chips, bulk 30 lbs. containers, are recalled due to cross contamination with peanut.",Undeclared allergen,1
"Undeclared allergen: Milk. Undeclared color additives:	FD&C yellow #5, yellow #8, red #40.","undeclared allergen: milk. undeclared color additives:	fd&c yellow #5, yellow #8, red #40.",Undeclared allergen,1
Hot & Sour Broth product contains Tamari which contains sub ingredient soybeans but finished label does not declare soy.,hot & sour broth product contains tamari which contains sub ingredient soybeans but finished label does not declare soy.,Undeclared allergen,1
"Undeclared allergens: Milk and Tree Nuts. Undeclared color additives: FD&C yellow #5, yellow #8, red #40.","undeclared allergens: milk and tree nuts. undeclared color additives: fd&c yellow #5, yellow #8, red #40.",Undeclared allergen,1
Firm is recalling one lot of pistachios after customer tested product and had a positive result for Salmonella,firm is recalling one lot of pistachios after customer tested product and had a positive result for salmonella,Bacterial pathogen contamination,1
Potential contamination with foreign objects.,potential contamination with foreign objects.,Other / Unspecified,1
Product label does not declare milk.,product label does not declare milk.,Undeclared allergen,1
Packages are mislabeled and actually contain undeclared mixed nuts instead of chocolate covered cashews.,packages are mislabeled and actually contain undeclared mixed nuts instead of chocolate covered cashews.,Undeclared allergen,1
"Undeclared allergen: Milk. Undeclared colors: FD&C yellow #5, red #40, blue #1.","undeclared allergen: milk. undeclared colors: fd&c yellow #5, red #40, blue #1.",Undeclared allergen,1
"Soy is missing from the ""Contains"" statement.","soy is missing from the ""contains"" statement.",Undeclared allergen,1
Shrimp and Lobster Ravioli back panel incorrectly identifies Spinach and Roasted Garlic ravioli ingredients,shrimp and lobster ravioli back panel incorrectly identifies spinach and roasted garlic ravioli ingredients,Other / Unspecified,1
Firm initiated a recall because of mislabeling of bottled product inside case.,firm initiated a recall because of mislabeling of bottled product inside case.,Labeling / Misbranding (non-allergen),1
"Undeclared allergens: Milk, Tree Nuts, Peanuts, and Soy.","undeclared allergens: milk, tree nuts, peanuts, and soy.",Undeclared allergen,1
The Cascade Raw Cheddar Cheese was recalled due to Shiga toxin-producing E. coli (STEC) and elevated generic E.coli in finished product testing results.,the cascade raw cheddar cheese was recalled due to shiga toxin-producing e. coli (stec) and elevated generic e.coli in finished product testing results.,Bacterial pathogen contamination,1
The processed herring was found to be uneviscerated based on sampling and analysis by New York State Department of Agriculture & Markets.,the processed herring was found to be uneviscerated based on sampling and analysis by new york state department of agriculture & markets.,Other / Unspecified,1
Wild Harvest Organic Unbleached All Purpose Flour in 5 lb. bags has the potential to be contaminated with E. coli (STEC).,wild harvest organic unbleached all purpose flour in 5 lb. bags has the potential to be contaminated with e. coli (stec).,Bacterial pathogen contamination,1
"Undeclared allergens: Milk, Tree Nuts, Peanuts, Soy and Wheat.","undeclared allergens: milk, tree nuts, peanuts, soy and wheat.",Undeclared allergen,1
Fish decomposition.,fish decomposition.,Undeclared allergen,1
"Undeclared allergens: Milk and Tree Nuts. Undeclared color additives: FD&C yellow #5, blue #1.","undeclared allergens: milk and tree nuts. undeclared color additives: fd&c yellow #5, blue #1.",Undeclared allergen,1
One lot of uncooked shrimp was inadvertently packaged as cooked shrimp.,one lot of uncooked shrimp was inadvertently packaged as cooked shrimp.,Other / Unspecified,1
"Undeclared allergen: Milk. Undeclared color additives: FD&C red #40, red #6, red #5, yellow #5.","undeclared allergen: milk. undeclared color additives: fd&c red #40, red #6, red #5, yellow #5.",Undeclared allergen,1
"Undeclared allergens: Milk, Peanuts, Soy, and Wheat. Undeclared color additives: FD&C red #40, red #6.","undeclared allergens: milk, peanuts, soy, and wheat. undeclared color additives: fd&c red #40, red #6.",Undeclared allergen,1
"JP s Delicacies LLC of Bloomfield NJ discovered during a walk thru of area stores,  bulging bottles of Holi Aioli, Lemon Basil, 12oz Bottle, expiration date of 7/18/18.  The firm has decided to initiated a recall because the products do not meet the firm s manufacturer standards.","jp s delicacies llc of bloomfield nj discovered during a walk thru of area stores,  bulging bottles of holi aioli, lemon basil, 12oz bottle, expiration date of 7/18/18.  the firm has decided to initiated a recall because the products do not meet the firm s manufacturer standards.",Labeling / Misbranding (non-allergen),1
"Incorrect product label on back panel, undeclared cashew, pecan, milk and soy","incorrect product label on back panel, undeclared cashew, pecan, milk and soy",Undeclared allergen,1
Incorrect product label on back panel,incorrect product label on back panel,Other / Unspecified,1
"Undeclared allergen: Milk. Undeclared color additives: FD&C red #40, red #6, red #5, blue #1,  and yellow #5.","undeclared allergen: milk. undeclared color additives: fd&c red #40, red #6, red #5, blue #1,  and yellow #5.",Undeclared allergen,1
Water from a roof leak may have dripped on chips prior to packaging,water from a roof leak may have dripped on chips prior to packaging,Packaging / Container defect,1
Raley's was notified by the manufacturer that their Pumpkin Ravioli may contain undeclared cashew and almond.,raley's was notified by the manufacturer that their pumpkin ravioli may contain undeclared cashew and almond.,Undeclared allergen,1
It was discovered that one batch of sardines were incorrectly labeled - Sardines in Water instead of Sardines in Tomato sauce.,it was discovered that one batch of sardines were incorrectly labeled - sardines in water instead of sardines in tomato sauce.,Other / Unspecified,1
"Undeclared allergen: Milk, tree nuts, peanuts, and soy.","undeclared allergen: milk, tree nuts, peanuts, and soy.",Undeclared allergen,1
Plow and Hearth was notified by a manufacture of their product labeled as chocolate covered cashews were actually salted peanuts.  The firm has decided to initiate a recall of the product. (Undeclared Allergen Issue).,plow and hearth was notified by a manufacture of their product labeled as chocolate covered cashews were actually salted peanuts.  the firm has decided to initiate a recall of the product. (undeclared allergen issue).,Undeclared allergen,1
"Jelly contains undeclared FD&C yellow #5 and blue #1, and unapproved carmoisine (E122)/dye 14720/acid red 14","jelly contains undeclared fd&c yellow #5 and blue #1, and unapproved carmoisine (e122)/dye 14720/acid red 14",Undeclared allergen,1
"Undeclared allergen: Milk, soy, and wheat.","undeclared allergen: milk, soy, and wheat.",Undeclared allergen,1
"Jelly contain undeclared FD&C yellow #5 and blue #1, and unapproved carmoisine (E122)/dye 14720/acid red 14","jelly contain undeclared fd&c yellow #5 and blue #1, and unapproved carmoisine (e122)/dye 14720/acid red 14",Undeclared allergen,1
"Undeclared allergens: Milk, tree nut, soy, and wheat.","undeclared allergens: milk, tree nut, soy, and wheat.",Undeclared allergen,1
undeclared FD & C Red 40,undeclared fd & c red 40,Undeclared allergen,1
Jelly contains undeclared FD&C Yellow #5 and FD&C Yellow #6,jelly contains undeclared fd&c yellow #5 and fd&c yellow #6,Undeclared allergen,1
"Undeclared allergens: Milk, peanut, soy, and wheat.","undeclared allergens: milk, peanut, soy, and wheat.",Undeclared allergen,1
Ranch Dressing dip contains undeclared milk as an ingredient.,ranch dressing dip contains undeclared milk as an ingredient.,Undeclared allergen,1
Jelly contains undeclared FD&C Red #40,jelly contains undeclared fd&c red #40,Undeclared allergen,1
"Undeclared allergens: Milk, soy, and wheat.","undeclared allergens: milk, soy, and wheat.",Undeclared allergen,1
One case (out of 4332 cases) of pine nuts was found to have been packed into macadamia nut pouches instead of pine nut pouches.,one case (out of 4332 cases) of pine nuts was found to have been packed into macadamia nut pouches instead of pine nut pouches.,Other / Unspecified,1
Jelly contains undeclared FD&C Yellow #6,jelly contains undeclared fd&c yellow #6,Undeclared allergen,1
"Undeclared allergen: Milk. Undeclared color additives: FD&C red #5, red #6, red #40, yellow #5.","undeclared allergen: milk. undeclared color additives: fd&c red #5, red #6, red #40, yellow #5.",Undeclared allergen,1
"Onset Worldwide has initiated a recall of Nitro-Milled Black Chia, Unit size: 50 lb Bulk Kraft paper bags with blue plastic liner. Codes: OWW-9358-112119, because the finished product tested positive for the presence of salmonella.","onset worldwide has initiated a recall of nitro-milled black chia, unit size: 50 lb bulk kraft paper bags with blue plastic liner. codes: oww-9358-112119, because the finished product tested positive for the presence of salmonella.",Bacterial pathogen contamination,1
White Corn Tortilla Chips may contain undeclared milk,white corn tortilla chips may contain undeclared milk,Undeclared allergen,1
Undeclared allergen on label.  The product label does not list Hazelnut.,undeclared allergen on label.  the product label does not list hazelnut.,Undeclared allergen,1
Product has undeclared allergens: soy and wheat. .,product has undeclared allergens: soy and wheat. .,Undeclared allergen,1
Undeclared allergen on label.  The product label does not list Hazelnut  .,undeclared allergen on label.  the product label does not list hazelnut  .,Undeclared allergen,1
Undeclared allergens: Milk and soy.,undeclared allergens: milk and soy.,Undeclared allergen,1
Product has undeclared allergens:  soy and almonds.,product has undeclared allergens:  soy and almonds.,Undeclared allergen,1
"The product was recalled because it may contain almond (tree-nut) and egg and, if eaten, could result in severe allergic reactions in persons sensitive to these ingredients.","the product was recalled because it may contain almond (tree-nut) and egg and, if eaten, could result in severe allergic reactions in persons sensitive to these ingredients.",Undeclared allergen,1
"The firm had a deviation from the Standard of Procedure in the manufacture of Clover Hill Dairy, Soft Ricotta. The facility was temporarily storing whey in a raw milk silo, without cleaning and sanitizing the silo after raw milk use.   The firm recalled the Clover Hill Dairy, Soft Ricotta.","the firm had a deviation from the standard of procedure in the manufacture of clover hill dairy, soft ricotta. the facility was temporarily storing whey in a raw milk silo, without cleaning and sanitizing the silo after raw milk use.   the firm recalled the clover hill dairy, soft ricotta.",Undeclared allergen,1
Undeclared Wheat and/or Egg.  The bottom label of Macaroni Salad Amish was mis-labeled as Red Potatoes salad or Baked Beans.    The label of the Red Potatoes salad declares EGG only but does not declare WHEAT.  The label of the Baked Beans does not declare EGG and WHEAT.,undeclared wheat and/or egg.  the bottom label of macaroni salad amish was mis-labeled as red potatoes salad or baked beans.    the label of the red potatoes salad declares egg only but does not declare wheat.  the label of the baked beans does not declare egg and wheat.,Undeclared allergen,1
Product was found to be contaminated with Salmonella,product was found to be contaminated with salmonella,Bacterial pathogen contamination,1
